,講義コード,講義名,担当者名
297,662104,民俗学,山中 雅子
298,662501,博物館経営論,土山 公仁
299,662503,古文書学,山中 雅子
300,664009,博物館実習３,稲葉 千晴
301,612104,都市の環境,森杉 雅史
302,613114,都市と生態環境,小池 聡
303,651103,教職入門,平山 勉
304,651111,教育原論,嶋口 裕基
305,651116,教育心理学,伊藤 康児
306,651118,外国史（旧カリ）,仲山 茂
307,651504,教育課程論,嶋口 裕基
308,651507,生徒・進路指導論,大嶽 さと子
309,651515,自然地理学（旧カリ）,稲垣 建志
310,652105,特別支援教育論,曽山 和彦
311,652110,社会・公民科教育法,毛利 公
312,652118,特別活動と総合的な学習の時間の指導法,曽山 和彦
313,652119,教育情報論,平山 勉
314,652120,学校教育相談,曽山 和彦
315,652131,日本文化史（旧カリ）,山中 雅子
316,652132,民俗学（旧カリ）,山中 雅子
317,652518,古文書学（旧カリ）,山中 雅子
318,652521,地誌学（旧カリ）,稲垣 建志
319,653508,社会・公民科指導法,毛利 公
320,653513,情報科指導法,齋藤 ひとみ
321,654103,教育実習１,平山 勉
322,654111,教育実習２,平山 勉
323,654119,教育実習指導（事後）,平山 勉
324,654503,教職実践演習(中・高),平山 勉
325,654514,教育実習１,平山 勉
326,654522,教育実習２,平山 勉
327,654530,教育実習指導（事後）,平山 勉
328,661502,博物館教育論,川合 剛
329,662102,博物館資料保存論,川瀬 基弘
330,662105,日本文化史（旧カリ）,山中 雅子
331,662106,民俗学（旧カリ）,山中 雅子
332,662502,博物館展示論,尾坂 知江子
333,662504,古文書学（旧カリ）,山中 雅子
334,663003,博物館実習１,谷口 庄一|稲葉 千晴
335,663101,博物館資料論１,川瀬 基弘
336,663102,博物館資料論２,森 達也
337,663103,博物館情報論,平山 勉
338,663104,教育メディア環境論,平山 勉
339,664004,博物館実習２,稲葉 千晴
340,662105,日本文化史（旧カリ）,山中 雅子
341,662106,民俗学（旧カリ）,山中 雅子
342,662502,博物館展示論,尾坂 知江子
343,662504,古文書学（旧カリ）,山中 雅子
344,663003,博物館実習１,"谷口 庄一
稲葉 千晴"
345,663101,博物館資料論１,川瀬 基弘
346,663102,博物館資料論２,森 達也
347,663103,博物館情報論,平山 勉
348,663104,教育メディア環境論,平山 勉
349,664004,博物館実習２,稲葉 千晴
