,講義コード,講義名,担当者名
336,221101,英語（コミュニケーション）１（Ｊ）,STOLTENBERG LUKE
337,221103,英語（コミュニケーション）１（Ｌ）,BAILEY Mark
338,221107,健康・スポーツ科学１（Ｊ～Ｍ）,石田 直章|小林 洋平|永田 淳|槇野 均
339,221110,英語（コミュニケーション）１（Ｋ）,HOARE Peter A.
340,221112,英語（コミュニケーション）１（Ｍ）,SWEETLOVE DOUGLAS W
341,221114,フランス語入門１,堀畑 正樹
342,221117,キャリア・デザイン論【国際経営学科1年、2年次以上】,五十畑 浩平
343,221118,現代経済入門【国際経営学科1年、2年次以上】,山本 いづみ
344,221120,ファイナンス入門【国際経営学科1年、2年次以上】,西垣 鳴人
345,221501,英語（コミュニケーション）２（Ｊ）,STOLTENBERG LUKE
346,221508,会計学入門【国際経営学科1年、2年次以上】,田代 樹彦
347,221509,統計学入門【2年次以上】,新美 潤一郎
348,221511,英語（コミュニケーション）２（Ｋ）,HOARE Peter A.
349,221513,英語（コミュニケーション）２（Ｍ）,SWEETLOVE DOUGLAS W
350,221514,流通入門【国際経営学科1年、2年次以上】,中川 宏道
351,221519,経営学入門【国際経営学科1年、2年次以上】,宮崎 信二
352,221520,経営分析入門【国際経営学科1年、2年次以上】,東田 明
353,222105,国際経済論,茶谷 淳一
354,222107,国際流通論,青木 均
355,222109,国際関係論,鳥飼 律子
356,222114,国際貿易論,田中 武憲
357,222116,国際地域文化研究(中国),村松 恵子
358,222118,国際地域文化研究(フランス),堀畑 正樹
359,222119,アメリカ企業論,名和 洋人
360,222120,国際コミュニケーション論,HIRANO Anna
361,222121,現代産業組織論【国際経営学科】,大西 幹弘
362,222122,EU経済論,山本 いづみ
363,222123,アジア経済論,澤田 貴之
364,222124,中国経済論,阿部 宏忠
365,222511,国際経営論,田中 武憲
366,222514,国際地域文化研究(英語圏),桑島 薫
367,222518,アジア企業論,澤田 貴之
368,222519,EU企業論,山本 いづみ
369,222520,中国企業論,阿部 宏忠
