,講義コード,講義名,担当者名
259,652123,学校教育相談,川俣 理惠
260,652503,特別支援教育論,曽山 和彦
261,652512,特別活動と総合的な学習の時間の指導法,杉浦 里美
262,654105,教育実習１,谷口 正明
263,654113,教育実習２,谷口 正明
264,654121,教育実習指導（事後）,谷口 正明
265,654505,教職実践演習(中・高),谷口 正明
266,654516,教育実習１,谷口 正明
267,654524,教育実習２,谷口 正明
268,654532,教育実習指導（事後）,谷口 正明
269,661502,博物館教育論,川合 剛
270,662102,博物館資料保存論,川瀬 基弘
271,662105,日本文化史（旧カリ）,山中 雅子
272,662106,民俗学（旧カリ）,山中 雅子
273,662502,博物館展示論,尾坂 知江子
274,662504,古文書学（旧カリ）,山中 雅子
275,663001,博物館実習１,三浦 彩子
276,663101,博物館資料論１,川瀬 基弘
277,663103,博物館情報論,平山 勉
278,663104,教育メディア環境論,平山 勉
279,664002,博物館実習２,三浦 彩子
280,662102,博物館資料保存論,川瀬 基弘
281,662105,日本文化史（旧カリ）,山中 雅子
282,662106,民俗学（旧カリ）,山中 雅子
283,662502,博物館展示論,尾坂 知江子
284,662504,古文書学（旧カリ）,山中 雅子
285,663001,博物館実習１,三浦 彩子
286,663101,博物館資料論１,川瀬 基弘
287,663103,博物館情報論,平山 勉
288,663104,教育メディア環境論,平山 勉
289,664002,博物館実習２,三浦 彩子
