,講義コード,講義名,担当者名
242,651510,生徒・進路指導論,岩﨑 義高
243,652119,教育情報論,平山 勉
244,652123,学校教育相談,川俣 理惠
245,652503,特別支援教育論,曽山 和彦
246,652512,特別活動と総合的な学習の時間の指導法,杉浦 里美
247,654105,教育実習１,谷口 正明
248,654113,教育実習２,谷口 正明
249,654121,教育実習指導（事後）,谷口 正明
250,654505,教職実践演習(中・高),谷口 正明
251,654516,教育実習１,谷口 正明
252,654524,教育実習２,谷口 正明
253,654532,教育実習指導（事後）,谷口 正明
254,661502,博物館教育論,川合 剛
255,662102,博物館資料保存論,川瀬 基弘
256,662105,日本文化史（旧カリ）,山中 雅子
257,662106,民俗学（旧カリ）,山中 雅子
258,662502,博物館展示論,尾坂 知江子
259,662504,古文書学（旧カリ）,山中 雅子
260,663001,博物館実習１,三浦 彩子
261,663101,博物館資料論１,川瀬 基弘
262,663103,博物館情報論,平山 勉
263,663104,教育メディア環境論,平山 勉
264,664002,博物館実習２,三浦 彩子
265,663001,博物館実習１,三浦 彩子
266,663101,博物館資料論１,川瀬 基弘
267,663103,博物館情報論,平山 勉
268,663104,教育メディア環境論,平山 勉
269,664002,博物館実習２,三浦 彩子
