,講義コード,講義名,担当者名
286,302133,微分積分１,三町 祐子
287,302135,化学実験１,村手 宏隆|景山 伯春
288,302137,物理学１,鈴木 知多男
289,302138,英語コミュニケーション１,武藤 美代子
290,302139,英語コミュニケーション１,寺西 範恭
291,302141,化学１,神藤 定生
292,302143,線形代数１,小川 束
293,302208,ソフトウェア工学（再）,米澤 弘毅
294,302213,ディジタル回路１,山田 宗男
295,302223,統計解析,水沼 洋人
296,302233,ディジタル回路１,山田 宗男
297,302239,統計解析,水沼 洋人
298,302240,生物学実験,寺野 ひろ実
299,302307,地学実験１,齊藤 毅
300,302308,数値解析,山本 修身
301,302501,テクニカルリテラシー,坂野 秀樹
302,302502,確率論,水沼 洋人
303,302505,微分積分２,鈴木 紀明
304,302507,化学実験２,村手 宏隆|景山 伯春
305,302513,英語コミュニケーション２,森岡 稔
306,302514,英語コミュニケーション２,寺西 範恭
307,302515,英語コミュニケーション２,山本 茂美
308,302516,物理学２,鈴木 知多男
309,302519,線形代数２,小川 束
310,302520,物理学演習,鈴木 智子
311,302524,コンピュータアーキテクチャ1,吉川 雅弥
312,302526,数学基礎演習２,岡 智美|日比野 正樹
313,302527,確率論,水沼 洋人
314,302528,テクニカルリテラシー,坂野 秀樹
315,302530,微分積分２,三町 祐子
316,302532,化学実験２,村手 宏隆|景山 伯春
317,302534,物理学２,鈴木 知多男
318,302535,英語コミュニケーション２,武藤 美代子
319,302536,英語コミュニケーション２,寺西 範恭
320,302539,物理学演習,石田 明
321,302540,線形代数２,小川 束
322,302544,コンピュータアーキテクチャ1,吉川 雅弥
323,302545,生物学,寺野 ひろ実
324,302602,ディジタル回路１（再）,山田 宗男
325,302604,ソフトウェア工学,米澤 弘毅
326,302630,ソフトウェア工学,米澤 弘毅
327,302703,地学実験２,市原 俊|齊藤 毅
328,302708,日本国憲法,日比 拓也
329,302709,日本国憲法,川中 達治
330,651105,教職入門,谷口 正明
331,651110,教育原論,嶋口 裕基
332,651114,教育心理学,木村 美奈子
333,651502,教育課程論,佐々木 基裕
334,651508,生徒・進路指導論,曽山 和彦
335,652119,教育情報論,平山 勉
336,652123,学校教育相談,川俣 理惠
337,652503,特別支援教育論,曽山 和彦
338,652512,特別活動と総合的な学習の時間の指導法,杉浦 里美
339,654105,教育実習１,谷口 正明
340,654113,教育実習２,谷口 正明
341,654121,教育実習指導（事後）,谷口 正明
342,654505,教職実践演習(中・高),谷口 正明
343,654516,教育実習１,谷口 正明
344,654524,教育実習２,谷口 正明
345,654532,教育実習指導（事後）,谷口 正明
346,661502,博物館教育論,川合 剛
347,662102,博物館資料保存論,川瀬 基弘
348,662105,日本文化史（旧カリ）,山中 雅子
349,662106,民俗学（旧カリ）,山中 雅子
350,662502,博物館展示論,尾坂 知江子
351,662504,古文書学（旧カリ）,山中 雅子
