,講義コード,講義名,担当者名
143,301616,物理学２（再）,小澤 理樹|片岡 啓介|佐藤 俊郎|土屋 文|坂東 俊治|大久保 敏之
144,301627,体育科学２（再）,内山 明
145,301628,アジア文化論２,菅沼 文乃
146,301629,アジア文化論２,齋藤 滋
147,301630,欧米文化論２,長澤 崇雄
148,301631,欧米文化論２,小野 康子
149,302119,数学基礎演習１,北河 一生|片岡 紀智
150,302124,物理学基礎演習１,中山 章宏
151,302127,理工学概論,池本 有助|井上 真澄|高井 宏之|竹内 哲也|中山 章宏|西山 桂|坂東 俊治|平松 美根男|本田 真己|山本 修身|吉川 雅弥|吉久 光一|渡辺 孝一|加鳥 裕明
152,302128,数学基礎演習１,岡 智美|小澤 哲也
153,302216,線形代数１（再）,片岡 紀智|北河 一生|土田 哲生
154,302220,地学１,塚腰 実
155,302226,微分積分１（再）,岡 智美|柴田 将敬
156,302309,国際経済論,名和 洋人
157,302310,心理学,重村 正之
158,302311,心理学,岡田 順介
159,302327,職業指導論,山口 貴士
160,302517,数学基礎演習２,北河 一生|片岡 紀智
161,302521,物理学基礎演習２,中山 章宏
162,302615,線形代数２（再）,片岡 紀智|北河 一生|許斐 豊
163,302620,地学２,塚腰 実
164,302626,微分積分２（再）,岡 智美|鍜治 俊輔
165,302706,国際関係論,賀茂 道子
166,302707,文学,松浦 由美子
167,303108,人文科学基礎１,河津 邦喜
168,303109,社会科学基礎１,早坂 泰行
169,303110,社会科学基礎１,齋藤 滋
170,303117,体育科学１,内田 雄介|鈴木 茂廣|吉里 秀雄|吉村 篤司|加藤 幸久
171,303118,ドイツ語１,山村 比鶴
172,303119,フランス語１,内田 智秀
173,303120,中国語１,張 書涵
174,303133,中国語１,岩佐 一枝
175,303209,英語コミュニケーション３,森岡 稔
176,303210,英語コミュニケーション３,松岡 光治
177,303211,英語コミュニケーション３,山本 茂美
178,303212,英語コミュニケーション３,山田 幸代
179,303213,ドイツ語３,中村 実生
180,303214,フランス語３,丸岡 美紀子
181,303215,中国語３,何 映
182,303217,体育科学３,辻内 智樹|松本 秀彦|内田 雄介
183,303227,英語コミュニケーション３,榎本 暁
184,303228,英語コミュニケーション３,久米 和代
185,303229,英語コミュニケーション３,松浦 由美子
186,303230,英語コミュニケーション３,山田 幸代
187,303231,中国語３,秋元 悦子
188,303312,プラクティカル・イングリッシュ１,WOOD CHRISTOPHER
189,303313,プラクティカル・イングリッシュ１,WOOD CHRISTOPHER
190,303505,化学２,田中 義人
191,303509,人文科学基礎２,河津 邦喜
192,303510,社会科学基礎２,早坂 泰行
193,303511,社会科学基礎２,齋藤 滋
194,303517,体育科学２,内田 雄介|鈴木 茂廣|吉里 秀雄|吉村 篤司|加藤 幸久
195,303518,ドイツ語２,山村 比鶴
196,303519,フランス語２,内田 智秀
197,303520,中国語２,張 書涵
198,303529,化学２,田中 義人
199,303535,中国語２,岩佐 一枝
200,303609,英語コミュニケーション４,森岡 稔
201,303610,英語コミュニケーション４,松岡 光治
202,303611,英語コミュニケーション４,山本 茂美
203,303612,英語コミュニケーション４,山田 幸代
204,303613,ドイツ語４,中村 実生
205,303614,フランス語４,丸岡 美紀子
206,303615,中国語４,何 映
207,303619,体育科学４,内田 雄介|辻内 智樹|松本 秀彦
208,303625,英語コミュニケーション４,榎本 暁
209,303626,英語コミュニケーション４,久米 和代
210,303627,英語コミュニケーション４,松浦 由美子
211,303628,英語コミュニケーション４,山田 幸代
212,303629,中国語４,秋元 悦子
213,303710,プラクティカル・イングリッシュ２,WOOD CHRISTOPHER
214,303711,プラクティカル・イングリッシュ２,WOOD CHRISTOPHER
215,652501,教育行政論,片山 信吾
216,653104,理科指導法Ａ,井中 宏史
217,653107,工業科教育法,谷口 正明
218,653116,職業指導論１,山口 貴士
219,653510,工業科指導法,谷口 正明
220,653527,教育実習指導（事前）,谷口 正明
221,652113,理科教育法Ａ,井中 宏史
222,652124,教育方法論,後藤 明史
223,652128,理科教育法２,井中 宏史
224,652129,道徳教育の指導法,塚原 利理
225,652130,特別活動の指導法,山川 法子
226,652507,理科教育法Ｂ,井中 宏史
227,652515,理科教育法１,井中 宏史
228,653115,理科指導法１,谷口 正明
229,653503,理科指導法Ｂ,井中 宏史
230,651501,学習社会論,片山 信吾
231,651514,教育方法・技術論,後藤 明史
232,652101,発達心理学,木村 美奈子
233,652104,教育法規,片山 信吾
234,652116,道徳教育の理論と指導法,塚原 利理
235,653111,学校課題演習,片山 信吾
236,653112,学校課題演習,谷口 正明|井中 宏史
237,653514,学校課題演習,嶋口 裕基
238,653519,模擬授業演習,谷口 正明
239,661501,生涯学習論,片山 信吾
240,662101,博物館原論,正村 美里
241,662103,日本文化の歴史,山中 雅子
242,662104,民俗学,山中 雅子
243,662501,博物館経営論,土山 公仁
244,662503,古文書学,山中 雅子
245,664007,博物館実習３,三浦 彩子
246,301322,日本国憲法,日比 拓也
247,302240,生物学実験,寺野 ひろ実
248,302307,地学実験１,齊藤 毅
249,302526,数学基礎演習２,岡 智美|日比野 正樹
250,302545,生物学,寺野 ひろ実
251,302703,地学実験２,市原 俊|齊藤 毅
252,302708,日本国憲法,日比 拓也
253,302709,日本国憲法,川中 達治
254,303102,物理学１,大久保 敏之
255,303112,英語コミュニケーション１,久米 和代
256,303114,英語コミュニケーション１,武藤 美代子
257,303123,電気基礎理論１,村上 祐一
258,303125,物理学１,土屋 文
259,303129,線形代数１,内村 佳典
260,303130,英語コミュニケーション１,永井 正司
261,303131,英語コミュニケーション１,中村 栄造
262,303132,英語コミュニケーション１,松村 昌紀
263,303134,コンピューターサイエンス,中條 渉
264,303136,電気基礎理論１,村上 祐一
265,303207,電気計測,伊藤 昌文
266,303208,電子回路A,児玉 哲司
267,303225,電子回路A,児玉 哲司
268,303226,電気計測,伊藤 昌文
269,303311,電気機器工学,山中 三四郎
270,303501,物理学２,大久保 敏之
271,303504,化学実験２,本田 真己|日比野 隆
272,303506,物理学演習,大久保 敏之
273,303513,英語コミュニケーション２,久米 和代
274,303515,英語コミュニケーション２,武藤 美代子
275,303525,物理学２,土屋 文
276,303527,化学実験２,本田 真己|日比野 隆
